refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNTpre_VSNTpost
0,1.0,0,23507,1.748046875,0.205078125,6.0,0.0,6,31,8,823.977783203125,453.493743896484,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23508,1.9921875,0.154296875,7.0,0.0,5,22,9,745.563171386719,443.23046875,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,0.0,0,23527,0.84375,0.15234375,2.0,1.0,3,13,4,660.091369628906,450.213439941406,0,1,objects,small,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
0,0.0,0,23529,1.310546875,0.220703125,3.0,1.0,12,62,6,1135.72314453125,791.114562988281,0,1,faces,female,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
1,0.0,0,23530,1.58203125,0.310546875,4.0,1.0,11,60,7,1170.88000488281,642.595764160156,0,1,objects,small,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
0,0.0,0,23534,2.55859375,0.2421875,6.0,0.0,13,75,11,1375.09521484375,383.854400634766,0,1,faces,male,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
0,0.0,0,23535,2.861328125,0.171875,7.0,0.0,14,77,12,1384.63696289062,568.650146484375,0,1,faces,male,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
0,0.0,0,23536,3.099609375,0.169921875,8.0,0.0,15,79,13,1366.3251953125,745.466857910156,0,1,objects,small,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
0,0.0,1,23537,3.34765625,0.15625,9.0,0.0,9,39,14,940.044250488281,386.930358886719,0,1,objects,big,0,1,objects,A,small,VS,O,14,E01,54.791015625,0
0,1.0,0,23583,0.53125,0.130859375,2.0,1.0,5,19,2,727.278015136719,161.494171142578,0,1,objects,big,1,1,faces,P,female,VS,F,16,E01,63.189453125,1
0,1.0,0,23584,0.751953125,0.185546875,3.0,1.0,9,42,3,918.923583984375,620.752685546875,0,1,faces,male,1,1,faces,P,female,VS,F,16,E01,63.189453125,1
0,1.0,0,23587,1.453125,0.138671875,5.0,0.0,15,78,6,1372.40673828125,629.021423339844,0,1,faces,male,1,1,faces,P,female,VS,F,16,E01,63.189453125,1
0,0.0,0,23589,2.86328125,0.248046875,7.0,0.0,11,60,8,1165.45458984375,638.065246582031,0,1,faces,female,1,1,faces,P,female,VS,F,16,E01,63.189453125,0
0,0.0,0,23601,0.517578125,0.1953125,2.0,1.0,1,6,2,527.56396484375,644.316711425781,0,1,faces,male,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,1,23602,0.78125,0.185546875,3.0,1.0,3,9,3,546.931945800781,893.284851074219,0,1,faces,male,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,0,23604,1.267578125,0.212890625,4.0,1.0,11,72,5,1308.439453125,952.881286621094,0,1,faces,male,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,0,23605,1.517578125,0.10546875,5.0,0.0,15,81,6,1358.93603515625,958.05224609375,0,1,faces,female,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,1,23606,1.6953125,0.119140625,6.0,0.0,9,51,7,1099.21630859375,673.409362792969,0,1,objects,small,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,1,23608,2.01171875,0.1875,7.0,0.0,8,50,9,1039.30017089844,565.556335449219,0,1,faces,female,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,0,23610,2.41796875,0.103515625,8.0,0.0,5,32,11,844.286865234375,560.245422363281,0,1,faces,male,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,0,23613,2.90234375,0.1171875,9.0,0.0,14,76,14,1356.41259765625,464.9814453125,0,1,faces,female,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,1,23614,3.072265625,0.201171875,10.0,0.0,13,74,15,1322.21691894531,250.620544433594,0,1,faces,male,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,0.0,0,23617,3.6796875,0.224609375,11.0,0.0,7,47,18,1071.34924316406,261.294403076172,0,1,faces,female,0,1,faces,A,female,VS,F,17,E01,67.388671875,0
0,1.0,0,23631,0.9140625,0.232421875,2.0,1.0,14,65,5,1306.125,260.96142578125,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23632,1.21484375,0.1953125,3.0,1.0,10,48,6,1050.69494628906,333.514739990234,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23633,1.478515625,0.212890625,4.0,1.0,9,41,7,983.602722167969,521.846862792969,0,1,faces,male,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23634,1.7578125,0.1484375,5.0,0.0,6,24,8,803.429565429688,608.787231445312,0,1,objects,big,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,1,23636,2.025390625,0.203125,6.0,0.0,2,14,10,656.049682617188,494.143188476562,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23638,2.421875,0.154296875,7.0,0.0,7,26,12,743.507019042969,868.391235351562,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,0.0,0,23674,0.732421875,0.12109375,2.0,1.0,2,2,4,540.444946289062,267.648864746094,0,1,faces,male,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,0,23675,0.921875,0.275390625,3.0,1.0,11,30,5,834.882080078125,330.792907714844,0,1,objects,big,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,1,23677,1.390625,0.205078125,4.0,1.0,7,20,7,744.027465820312,282.831604003906,0,1,faces,male,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,0,23679,1.8359375,0.201171875,5.0,0.0,14,65,9,1243.76916503906,277.447387695312,0,1,faces,female,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,0,23680,2.107421875,0.197265625,6.0,0.0,15,67,10,1264.89709472656,462.859771728516,0,1,faces,male,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,0,23681,2.34375,0.126953125,7.0,0.0,13,59,11,1178.3173828125,512.599304199219,0,1,objects,big,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,0,23683,2.677734375,0.296875,8.0,0.0,12,31,13,824.132019042969,424.438232421875,0,1,faces,female,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,0.0,0,23685,3.26171875,0.27734375,9.0,0.0,10,27,15,727.352416992188,890.521301269531,0,1,faces,male,0,1,faces,A,male,VS,F,20,E01,79.986328125,0
0,1.0,0,23705,0.537109375,0.240234375,2.0,1.0,4,25,2,753.032287597656,731.374877929688,0,1,faces,female,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23706,0.82421875,0.119140625,3.0,1.0,3,24,3,734.439514160156,640.049865722656,0,1,faces,male,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23707,1.01953125,0.12890625,4.0,1.0,15,79,4,1324.09484863281,695.42529296875,0,1,faces,male,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23709,1.453125,0.134765625,5.0,0.0,9,40,6,950.002746582031,426.230041503906,0,1,objects,small,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,0.0,0,23759,0.875,0.201171875,2.0,1.0,5,25,5,729.640991210938,726.442749023438,0,1,objects,small,1,1,faces,P,female,VS,I,23,E01,92.583984375,0
0,0.0,0,23760,1.140625,0.169921875,3.0,1.0,3,14,6,660.097045898438,529.218505859375,0,1,objects,small,1,1,faces,P,female,VS,I,23,E01,92.583984375,0
0,0.0,0,23761,1.357421875,0.140625,4.0,1.0,8,31,7,833.343811035156,459.541625976562,0,1,faces,female,1,1,faces,P,female,VS,I,23,E01,92.583984375,0
0,0.0,0,23762,1.564453125,0.140625,5.0,0.0,1,4,8,544.829528808594,439.327392578125,0,1,faces,female,1,1,faces,P,female,VS,I,23,E01,92.583984375,0
0,0.0,0,23764,2.05078125,0.1875,6.0,0.0,11,46,10,1047.05578613281,169.903778076172,0,1,faces,female,1,1,faces,P,female,VS,I,23,E01,92.583984375,0
0,0.0,0,23765,2.287109375,0.11328125,7.0,0.0,10,38,11,955.476989746094,248.222625732422,0,1,faces,male,1,1,faces,P,female,VS,I,23,E01,92.583984375,0
1,1.0,1,23807,0.814453125,0.119140625,2.0,1.0,6,47,4,1090.47058105469,240.108535766602,0,1,faces,male,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,1.0,0,23811,1.470703125,0.15625,4.0,1.0,12,68,8,1275.54919433594,581.028076171875,0,1,faces,female,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
1,1.0,0,23815,2.234375,0.259765625,6.0,0.0,8,53,12,1073.88806152344,852.162353515625,0,1,faces,male,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,1.0,0,23816,2.55859375,0.197265625,7.0,0.0,13,71,13,1257.73193359375,851.126403808594,0,1,faces,female,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,1.0,0,23818,2.95703125,0.123046875,9.0,0.0,7,52,15,1057.81115722656,770.4609375,0,1,objects,big,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,0.0,0,23868,0.5546875,0.1640625,2.0,1.0,10,55,3,1155.03295898438,182.630599975586,0,1,faces,male,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23869,0.783203125,0.1328125,3.0,1.0,7,38,4,988.290893554688,280.819763183594,0,1,objects,small,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23870,0.9609375,0.197265625,4.0,1.0,9,48,5,1076.24755859375,366.068267822266,0,1,faces,female,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,1,23871,1.244140625,0.154296875,5.0,0.0,2,14,6,616.27197265625,574.03564453125,0,1,faces,female,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23873,1.7421875,0.20703125,6.0,0.0,3,16,8,656.444885253906,742.038696289062,0,1,faces,female,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23874,2.00390625,0.310546875,7.0,0.0,4,17,9,659.566711425781,842.827453613281,0,1,faces,female,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23875,2.388671875,0.1796875,8.0,0.0,8,42,10,965.131652832031,649.537109375,0,1,objects,big,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23876,2.63671875,0.173828125,9.0,0.0,14,69,11,1260.26977539062,642.505187988281,0,1,faces,female,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23877,2.880859375,0.240234375,10.0,0.0,12,62,12,1150.77124023438,839.774047851562,0,1,faces,male,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,1,23878,3.166015625,0.10546875,11.0,0.0,13,63,13,1156.96838378906,963.170227050781,0,1,faces,male,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23880,3.443359375,0.193359375,12.0,0.0,15,80,15,1369.59741210938,870.156005859375,0,1,faces,male,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,0.0,0,23882,3.849609375,0.177734375,13.0,0.0,11,58,17,1161.69909667969,437.772796630859,0,1,faces,female,0,1,faces,A,female,VS,I,27,E01,109.380859375,0
0,1.0,1,23933,0.451171875,0.138671875,2.0,1.0,6,37,2,927.962280273438,176.381805419922,0,1,faces,female,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
