refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,Nrank,N_subj_rank,NC_subj_rank,NC_rank,VSNT_EX,isEX
0,1,0,27071,1.814453125,0.314453125,5,0,8,26,9,736.908020019531,888.989440917969,0,1,faces,male,0,1,faces,A,male,VS,F,32,J04,130.376953125,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,1,0
0,1,0,27076,3.06640625,0.208984375,6,0,11,48,14,1037.85595703125,368.86328125,0,1,faces,male,0,1,faces,A,male,VS,F,32,J04,130.376953125,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,1,0
0,1,0,27077,3.306640625,0.384765625,7,0,15,77,15,1377.66906738281,584.319030761719,0,1,faces,male,0,1,faces,A,male,VS,F,32,J04,130.376953125,1.0,0.45454545454545453,-0.04545454545454547,0.5,1,0
0,1,0,27151,0.791015625,0.177734375,2,1,2,3,3,546.371765136719,292.945434570312,0,1,objects,big,0,1,faces,A,female,VS,I,36,J04,147.173828125,0.0,0.0,-0.5,-0.5,1,0
0,1,1,27153,1.140625,0.162109375,3,1,9,46,5,1068.89270019531,158.399200439453,0,1,faces,female,0,1,faces,A,female,VS,I,36,J04,147.173828125,0.2,0.09090909090909091,-0.40909090909090906,-0.3,1,0
1,1,0,27158,2.083984375,0.162109375,4,1,12,66,10,1243.67919921875,387.068511962891,0,1,faces,male,0,1,faces,A,female,VS,I,36,J04,147.173828125,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,1,0
0,1,1,27159,2.275390625,0.18359375,5,0,5,28,11,853.706604003906,157.708709716797,0,1,faces,female,0,1,faces,A,female,VS,I,36,J04,147.173828125,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,1,0
0,1,0,27163,3.416015625,0.4296875,7,0,7,40,15,931.51416015625,490.450775146484,0,1,faces,female,0,1,faces,A,female,VS,I,36,J04,147.173828125,1.0,0.45454545454545453,-0.04545454545454547,0.5,1,0
0,1,0,27196,0.650390625,0.66796875,2,1,1,9,2,545.830505371094,954.854614257812,0,1,faces,female,0,1,faces,A,female,EX,I,38,J04,155.572265625,0.0,0.0,-0.5,-0.5,0,1
0,1,0,27197,1.373046875,0.27734375,3,1,11,53,3,1021.85430908203,833.782287597656,0,1,faces,female,0,1,faces,A,female,EX,I,38,J04,155.572265625,0.2,0.09090909090909091,-0.40909090909090906,-0.3,0,1
0,1,0,27198,1.66796875,0.212890625,4,1,10,51,4,1081.87768554688,675.537841796875,0,1,objects,small,0,1,faces,A,female,EX,I,38,J04,155.572265625,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,0,1
0,1,0,27200,2.142578125,0.20703125,5,0,14,78,6,1352.60107421875,600.391174316406,0,1,faces,female,0,1,faces,A,female,EX,I,38,J04,155.572265625,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,0,1
0,1,0,27201,2.369140625,0.41796875,6,0,15,79,7,1371.22143554688,730.211303710938,0,1,faces,female,0,1,faces,A,female,EX,I,38,J04,155.572265625,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,0,1
0,1,0,27205,3.5390625,0.232421875,7,0,7,30,11,840.959167480469,311.249145507812,0,1,faces,male,0,1,faces,A,female,EX,I,38,J04,155.572265625,1.0,0.45454545454545453,-0.04545454545454547,0.5,0,1
0,1,0,27221,1.306640625,0.244140625,2,1,11,53,6,1025.11657714844,867.554809570312,0,1,faces,male,0,1,objects,A,big,VS,O,39,J04,159.771484375,0.0,0.0,-0.5,-0.5,1,0
0,1,0,27224,2.05078125,0.298828125,3,1,15,77,9,1348.53588867188,528.90673828125,0,1,objects,big,0,1,objects,A,big,VS,O,39,J04,159.771484375,0.25,0.09090909090909091,-0.40909090909090906,-0.25,1,0
0,1,0,27225,2.380859375,0.275390625,4,1,13,73,10,1355.96704101562,177.006530761719,0,1,faces,male,0,1,objects,A,big,VS,O,39,J04,159.771484375,0.5,0.18181818181818182,-0.3181818181818182,0.0,1,0
0,1,0,27227,2.923828125,0.15234375,5,0,10,49,12,1019.08575439453,482.566101074219,0,1,faces,female,0,1,objects,A,big,VS,O,39,J04,159.771484375,0.75,0.2727272727272727,-0.2272727272727273,0.25,1,0
0,1,0,27228,3.0859375,0.16796875,6,0,9,48,13,1033.638671875,385.338745117188,0,1,objects,small,0,1,objects,A,big,VS,O,39,J04,159.771484375,1.0,0.36363636363636365,-0.13636363636363635,0.5,1,0
0,1,0,27320,2.724609375,0.212890625,2,1,12,39,8,991.621276855469,324.642883300781,0,1,faces,female,0,1,faces,A,female,EX,F,44,J04,180.767578125,0.0,0.0,-0.5,-0.5,0,1
0,1,0,27322,3.19921875,0.279296875,3,1,3,11,10,646.231079101562,221.526123046875,0,1,faces,male,0,1,faces,A,female,EX,F,44,J04,180.767578125,0.5,0.09090909090909091,-0.40909090909090906,0.0,0,1
